iso_code,continent,location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,population
OWID_UMC,,Upper middle income,19/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,18/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,17/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,16/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,15/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,14/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,13/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,02/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,12/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,10/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,09/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,08/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,07/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,06/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,05/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,04/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,11/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,20/03/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,11/02/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,09/02/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,19/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,18/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,17/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,16/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,15/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,14/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,13/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,20/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,12/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,10/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,09/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,08/01/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,07/01/2020,,,,,,,,,,,,2525921300
